Metadata for Survey: Incorporates general information for entire survey,,,,
Parameter,Type,Requirement,Explanation,Alias
name_s,string,compulsory,name of survey,
ID_s,string,optional,nickname of survey,nickname
net_code_s,string,compulsory,network code given by IRIS,
start_date/value_s,string,compulsory,start date of survey [ UTC ],
end_date/value_s,string,compulsory,end date of survey [ UTC ],
northwest_corner/latitude_d,float,compulsory,location of northwest corner of survey in longitude datum [ degrees (hh.mmss) ],
northwest_corner/longitude_d,float,compulsory,location of northwest corner of survey in latitude datum [ degrees (hh.mmss) ],
southeast_corner/latitude_d,float,compulsory,location of southeast corner of survey in longitude datum [ degrees (hh.mmss) ],
southeast_corner/longitude_d,float,compulsory,location of southeast corner of survey in latitude datum [ degrees (hh.mmss) ],
datum_s,string,compulsory,"datum of x, y coordinates [ WGS84 | ...]",
location_s,string,optional,location of survey in general terms,
country_s,string,optional,country/countries survey located in,
summary_s,string,compulsory,summary paragraph of survey,summary_paragraph
notes_s,string,optional,notes about survey,
acquired_by/author_s,string,compulsory,principal investigator(s) responsible for survey,
acquired_by/organization_s,string,compulsory,organization(s) associated with survey,
acquired_by/email_s,string,compulsory,email address of PI(s),
acquired_by/url_s,string,compulsory,url(s) of organization(s),
release_status_s,string,compulsory,release status [ open | on request | propriatary |...],
conditions_of_use_s,string,optional,condition of use information information including licensing,
citation/dataset doi_s,string,compulsory,citation dataset doi number,
citation/journal_s,string,optional,citation journal article,
citation/journal doi_s,string,optional,citation journal doi,
citation/title_s,string,optional,citation title,
citation/author_s,string,optional,citation author,
citation/year_s,string,optional,citation year,
citation/notes_s,string,optional,notes on citation,
